date,value,scaled_value,lstm_pred,dayofweek,month,dayofyear,lag_1,lag_2,rolling_mean_3,rolling_std_3,diff_1
2014-02-06,11.4,0.100502513,0.11111285,3,2,37,11.21,12.49,11.7,0.690724258,0.19
2014-02-07,11.02,0.088567839,0.107565165,4,2,38,11.4,11.21,11.21,0.19,-0.38
2014-02-10,11.27,0.096419598,0.10160729,0,2,41,11.02,11.4,11.23,0.193132079,0.25
2014-02-11,11.07,0.090138191,0.098646656,1,2,42,11.27,11.02,11.12,0.132287566,-0.2
2014-02-12,10.84,0.082914573,0.095028296,2,2,43,11.07,11.27,11.06,0.215174348,-0.23
2014-02-13,11.1,0.091080402,0.09051058,3,2,44,10.84,11.07,11.00333333,0.142243922,0.26
2014-02-14,11.52,0.104271357,0.09004095,4,2,45,11.1,10.84,11.15333333,0.343122913,0.42
2014-02-17,10.61,0.075690955,0.09288001,0,2,48,11.52,11.1,11.07666667,0.455448497,-0.91
2014-02-18,11.25,0.095791457,0.0868984,1,2,49,10.61,11.52,11.12666667,0.46736852,0.64
2014-02-19,11.26,0.096105528,0.0894924,2,2,50,11.25,10.61,11.04,0.372424489,0.01
2014-02-20,10.81,0.081972362,0.090798624,3,2,51,11.26,11.25,11.10666667,0.256969518,-0.45
2014-02-21,11.06,0.089824121,0.08824709,4,2,52,10.81,11.26,11.04333333,0.225462488,0.25
2014-02-24,10.59,0.075062814,0.088296995,0,2,55,11.06,10.81,10.82,0.23515952,-0.47
2014-02-25,10.32,0.066582915,0.08451558,1,2,56,10.59,11.06,10.65666667,0.374477414,-0.27
2014-02-26,10.98,0.087311558,0.07940502,2,2,57,10.32,10.59,10.63,0.3318132,0.66
2014-02-27,12.15,0.124057789,0.080617025,3,2,58,10.98,10.32,11.15,0.92676858,1.17
2014-02-28,11.37,0.099560302,0.091333985,4,2,59,12.15,10.98,11.5,0.59573484,-0.78
2014-03-03,11.78,0.112437186,0.093436934,0,3,62,11.37,12.15,11.76666667,0.390170903,0.41
2014-03-04,11.94,0.117462312,0.098449916,1,3,63,11.78,11.37,11.69666667,0.293995465,0.16
2014-03-05,11.78,0.112437186,0.10393107,2,3,64,11.94,11.78,11.83333333,0.092376043,-0.16
2014-03-06,11.39,0.100188442,0.107012,3,3,65,11.78,11.94,11.70333333,0.282901632,-0.39
2014-03-07,11.41,0.100816583,0.10588865,4,3,66,11.39,11.78,11.52666667,0.219620885,0.02